siren,nic,siret,trancheEffectifsEtablissement,etablissementSiege,categorieJuridiqueUniteLegale,denominationUniteLegale,activitePrincipaleUniteLegale,trancheEffectifsUniteLegale,categorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,caractereEmployeurEtablissement,naf.niv4,naf.niv3,naf.niv2,sectionActivitePrincipaleUniteLegale,libelleSectionActivitePrincipaleUniteLegale,libelleActivitePrincipaleUniteLegale,tranche_ca_millesime_1,tranche_ca_millesime_2,tranche_ca_millesime_3,CA,nom_zone_d_activite
518927207,00028,51892720700028,11,true,5710,ACESI GROUP,64.30Z,11,PME,8B,,RUE,ICARE AEROPARC I,67960,ENTZHEIM,,67124,,,,,64.30Z,O,64.30,64.3,64,K,Activités financières et d'assurance,Fonds de placement et entités financières similaires,,,,,aeroparc
519523054,00020,51952305400020,12,true,5710,POIVRE SEL & BOUT'CHOU,56.29A,12,PME,,,ALL,DES FORGERONS,67960,ENTZHEIM,,67124,,,,,56.29A,O,56.29,56.2,56,I,Hébergement et restauration,Restauration collective sous contrat,,,,,aeroparc
520499021,00035,52049902100035,01,true,5499,CEVILOG,71.12B,01,PME,,6,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,71.12B,O,71.12,71.1,71,M,"Activités spécialisées, scientifiques et techniques","Ingénierie, études techniques",,,,,aeroparc
520599218,00028,52059921800028,02,true,5499,EMPASA,47.59B,02,PME,,10,RUE,DES HERONS,67960,ENTZHEIM,,67124,,,,,47.59B,N,47.59,47.5,47,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de détail d'autres équipements du foyer,,,,,aeroparc
521470344,00024,52147034400024,03,false,5499,STATION ALARME TELESURVEILLANCE ELECTRONIQUE,80.10Z,03,PME,,1,RUE,PEGASE,67960,ENTZHEIM,,67124,,,,,80.10Z,O,80.10,80.1,80,N,Activités de services administratifs et de soutien,Activités de sécurité privée,,,,,aeroparc
523273944,00489,52327394400489,02,false,5710,DACTYL BURO OFFICE,46.49Z,32,ETI,IMMEUBLE LE MILLENIUM,9,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,46.49Z,O,46.49,46.4,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) d'autres biens domestiques,,,,,aeroparc
523700664,00023,52370066400023,02,true,5499,SEFKO PAYSAGE,81.30Z,02,PME,LIEUDIT IN DER CAPELL,9,RUE,DU CORDONNIER,67960,ENTZHEIM,,67124,,,,,81.30Z,N,81.30,81.3,81,N,Activités de services administratifs et de soutien,Services d'aménagement paysager,,,,,aeroparc
524115284,00019,52411528400019,12,true,5710,DBH-SERVICES,95.12Z,12,PME,,5,RUE,DES CIGOGNES,67960,ENTZHEIM,,67124,,,,,95.12Z,O,95.12,95.1,95,S,Autres activités de services,Réparation d'équipements de communication,,,,,aeroparc
528988421,00020,52898842100020,11,true,5499,ARNAUD CHAMLEY,43.91B,11,PME,,18,RUE,DES CIGOGNES,67960,ENTZHEIM,,67124,,,,,43.91B,O,43.91,43.9,43,F,Construction,Travaux de couverture par éléments,A - de 32K,A - de 32K,A - de 32K,,aeroparc
530091917,00019,53009191700019,03,true,5499,BLUE NOTE SYSTEMS,62.09Z,03,PME,,19,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,62.09Z,O,62.09,62.0,62,J,Information et communication,Autres activités informatiques,,,,,aeroparc
530913870,00024,53091387000024,01,true,5499,STRASBOURG EUROPE COURTAGE,66.22Z,01,PME,,10,RUE,DU CORDONNIER,67960,ENTZHEIM,,67124,,,,,66.22Z,N,66.22,66.2,66,K,Activités financières et d'assurance,Activités des agents et courtiers d'assurances,,,,,aeroparc
531843159,00041,53184315900041,03,true,5710,LYSEA,46.45Z,03,PME,,7,RUE,ICARE,67960,ENTZHEIM,,67124,,,"LYSEA, MANETIK, LADY GREEN","LYSEA, MANETIK, LADY GREEN",46.45Z,O,46.45,46.4,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté,A - de 32K,A - de 32K,A - de 32K,,aeroparc
531952588,00022,53195258800022,,true,5710,SOCIETE NOUVELLE TRAU,43.22A,12,PME,,15,RUE,DES CIGOGNES,67960,ENTZHEIM,,67124,,,SOCIETE NOUVELLE TRAU,SOCIETE NOUVELLE TRAU,43.22A,O,43.22,43.2,43,F,Construction,Travaux d'installation d'eau et de gaz en tous locaux,,,,,aeroparc
533696647,00023,53369664700023,,false,5499,RUNOLO,56.10C,03,PME,,2,RUE,DES HERONS,67960,ENTZHEIM,,67124,,,CLASS'CROUTE,CLASS'CROUTE,56.10C,O,56.10,56.1,56,I,Hébergement et restauration,Restauration de type rapide,,,,,aeroparc
